dataset,fy,edition,page,panel,group,label,label_missing,kind,row_check,derived_cell,table_family,line_no,columns_as_printed,v1,v2,v3,v4,v5,v6,v7,v8,n_values,ruler_spanned,repaired_cells,unparsed_cells,column_meaning,status,reconciliation
elections,2014,FY2014,157,1,,CHARLES D. BAKER **,,row,parts sum to the printed total,,,,trailing figures,70,55,48,46,219,,,,5,,0,,,check failed,"181 full rows tie, 1 do not; 28 partial not checked"
elections,2014,FY2014,157,1,,MARK R. FISHER,,row,parts sum to the printed total,,,,trailing figures,19,19,26,18,82,,,,5,,0,,,check failed,"181 full rows tie, 1 do not; 28 partial not checked"
elections,2014,FY2014,157,1,,TOTAL,,subtotal,parts sum to the printed total,,,,trailing figures,89,74,74,64,301,,,,5,,0,,,check failed,"181 full rows tie, 1 do not; 28 partial not checked"
elections,2014,FY2014,157,1,,KAREN E. POLITO **,,row,parts sum to the printed total,,,,trailing figures,79,67,63,52,261,,,,5,,0,,,check failed,"181 full rows tie, 1 do not; 28 partial not checked"
elections,2014,FY2014,157,1,,BLANKS,,row,parts sum to the printed total,,,,trailing figures,10,7,11,12,40,,,,5,,0,,,check failed,"181 full rows tie, 1 do not; 28 partial not checked"
elections,2014,FY2014,157,1,,TOTAL,,subtotal,parts sum to the printed total,,,,trailing figures,89,74,74,64,301,,,,5,,0,,,check failed,"181 full rows tie, 1 do not; 28 partial not checked"
elections,2014,FY2014,157,1,,JOHN B. MILLER **,,row,parts sum to the printed total,,,,trailing figures,73,61,61,51,246,,,,5,,0,,,check failed,"181 full rows tie, 1 do not; 28 partial not checked"
elections,2014,FY2014,157,1,,BLANKS,,row,parts sum to the printed total,,,,trailing figures,16,13,13,13,55,,,,5,,0,,,check failed,"181 full rows tie, 1 do not; 28 partial not checked"
elections,2014,FY2014,157,1,,TOTAL,,subtotal,parts sum to the printed total,,,,trailing figures,89,74,74,64,301,,,,5,,0,,,check failed,"181 full rows tie, 1 do not; 28 partial not checked"
elections,2014,FY2014,157,1,,DAVID D’ARCANGELO **,,row,parts sum to the printed total,,,,trailing figures,74,60,55,47,236,,,,5,,0,,,check failed,"181 full rows tie, 1 do not; 28 partial not checked"
elections,2014,FY2014,157,1,,BLANKS,,row,parts sum to the printed total,,,,trailing figures,15,14,19,17,65,,,,5,,0,,,check failed,"181 full rows tie, 1 do not; 28 partial not checked"
elections,2014,FY2014,157,1,,TOTAL,,subtotal,parts sum to the printed total,,,,trailing figures,89,74,74,64,301,,,,5,,0,,,check failed,"181 full rows tie, 1 do not; 28 partial not checked"
elections,2014,FY2014,157,1,,MICHAEL JAMES HEFFERNAN **,,row,parts sum to the printed total,,,,trailing figures,72,61,58,50,241,,,,5,,0,,,check failed,"181 full rows tie, 1 do not; 28 partial not checked"
elections,2014,FY2014,157,1,,BLANKS,,row,parts sum to the printed total,,,,trailing figures,17,13,16,14,60,,,,5,,0,,,check failed,"181 full rows tie, 1 do not; 28 partial not checked"
elections,2014,FY2014,157,1,,TOTAL,,subtotal,parts sum to the printed total,,,,trailing figures,89,74,74,64,301,,,,5,,0,,,check failed,"181 full rows tie, 1 do not; 28 partial not checked"
elections,2014,FY2014,157,1,,PATRICIA S. SAINT AUBIN **,,row,parts sum to the printed total,,,,trailing figures,73,60,53,49,235,,,,5,,0,,,check failed,"181 full rows tie, 1 do not; 28 partial not checked"
elections,2014,FY2014,157,1,,BLANKS,,row,parts sum to the printed total,,,,trailing figures,16,14,21,15,66,,,,5,,0,,,check failed,"181 full rows tie, 1 do not; 28 partial not checked"
elections,2014,FY2014,157,1,,TOTAL,,subtotal,parts sum to the printed total,,,,trailing figures,89,74,74,64,301,,,,5,,0,,,check failed,"181 full rows tie, 1 do not; 28 partial not checked"
elections,2014,FY2014,157,1,,ROSEANN L. EHRHARD WOFFORD **,,row,parts sum to the printed total,,,,trailing figures,73,59,57,49,238,,,,5,,0,,,check failed,"181 full rows tie, 1 do not; 28 partial not checked"
elections,2014,FY2014,157,1,,BLANKS,,row,parts sum to the printed total,,,,trailing figures,16,15,17,15,63,,,,5,,0,,,check failed,"181 full rows tie, 1 do not; 28 partial not checked"
elections,2014,FY2014,157,1,,TOTAL,,subtotal,parts sum to the printed total,,,,trailing figures,89,74,74,64,301,,,,5,,0,,,check failed,"181 full rows tie, 1 do not; 28 partial not checked"
elections,2014,FY2014,157,1,,JENNIE L. CAISSIE **,,row,parts sum to the printed total,,,,trailing figures,72,53,52,47,224,,,,5,,0,,,check failed,"181 full rows tie, 1 do not; 28 partial not checked"
elections,2014,FY2014,157,1,,BLANKS,,row,parts sum to the printed total,,,,trailing figures,17,21,22,17,77,,,,5,,0,,,check failed,"181 full rows tie, 1 do not; 28 partial not checked"
elections,2014,FY2014,157,1,,TOTAL,,subtotal,parts sum to the printed total,,,,trailing figures,89,74,74,64,301,,,,5,,0,,,check failed,"181 full rows tie, 1 do not; 28 partial not checked"
elections,2014,FY2014,157,1,,RICHARD M. BASTIEN ** 9 -,,row,not a full row — not checked,,,,trailing figures,9,7,25,,,,,,3,,0,,,check failed,"181 full rows tie, 1 do not; 28 partial not checked"
elections,2014,FY2014,157,1,,BLANKS,,row,parts sum to the printed total,,,,trailing figures,80,74,65,57,276,,,,5,,0,,,check failed,"181 full rows tie, 1 do not; 28 partial not checked"
elections,2014,FY2014,157,1,,TOTAL,,subtotal,parts sum to the printed total,,,,trailing figures,89,74,74,64,301,,,,5,,0,,,check failed,"181 full rows tie, 1 do not; 28 partial not checked"
elections,2014,FY2014,158,1,,RICHARD M. BASTIEN   1 -,,row,not a full row — not checked,,,,trailing figures,11,7,19,,,,,,3,,0,,,check failed,"181 full rows tie, 1 do not; 28 partial not checked"
elections,2014,FY2014,158,1,,BLANKS,,row,parts sum to the printed total,,,,trailing figures,88,74,63,57,282,,,,5,,0,,,check failed,"181 full rows tie, 1 do not; 28 partial not checked"
